Group,description,experiment,shock,treatment,treatmentEMA,cultivation,cultivation_day,person,cultivation_media,bile_acids,isolation,DNAconcentration,aliquote
5DTZ60Z,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,5,TZ,solid,yes,PowerFecal,101.489
5DTZEt,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,5,TZ,solid,no,PowerFecal,150.068
5DTZEtZ,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,5,TZ,solid,yes,PowerFecal,152.36
5DUM30,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,5,UM,solid,no,PowerFecal,149.769
5DUM30Z,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,5,UM,solid,yes,PowerFecal,145.652
5DUM60,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,5,UM,solid,no,PowerFecal,150.597
5DUM60Z,temperature&wash&cultivation5daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,5,UM,solid,yes,PowerFecal,143.709
5DUMEt,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,5,UM,solid,no,PowerFecal,158.315
5DUMEtZ,ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,5,UM,solid,yes,PowerFecal,132.793
7DEtX70,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,7,UM,solid,no,PowerFecal,47.341
7DEtX70Z,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_70,,cultivationSolid,7,UM,solid,yes,PowerFecal,100.783
7DTZ30,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,7,TZ,solid,no,PowerFecal,113.171
7DTZ60,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,7,TZ,solid,no,PowerFecal,84.102
7DTZ60Z,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,7,TZ,solid,yes,PowerFecal,90.43
7DTZEt,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,7,TZ,solid,no,PowerFecal,125.807
7DTZEtZ,ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,,cultivationSolid,7,TZ,solid,yes,PowerFecal,88.303
7DUM30,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,7,UM,solid,no,PowerFecal,141.861
7DUM30Z,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,,cultivationSolid,7,UM,solid,yes,PowerFecal,85.557
7DUM60,temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,,cultivationSolid,7,UM,solid,no,PowerFecal,135.272
