description,experiment,shock,treatment,cultivation_day,person,cultivation,cultivation_media,bile_acids,CFU
ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,5,TZ,cultivationSolid,solid,no,168
ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_100,5,TZ,cultivationSolid,solid,yes,300
ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_70,5,UM,cultivationSolid,solid,no,278
ethanol&wash&cultivation5daysOnSolidMedia,3,Ethanol_shock,cult_70,5,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,5,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,5,UM,cultivationLiquid,liquid,yes,1
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,5,TZ,cultivationLiquid,liquid,no,0
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T30,5,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,5,TZ,cultivationLiquid,liquid,no,1
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,5,TZ,cultivationLiquid,liquid,yes,0
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,5,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation5daysInLiquidMedia,3,Heat_shock,cult_T60,5,UM,cultivationLiquid,liquid,yes,0
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,5,UM,cultivationLiquid,liquid,yes,21
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,5,UM,cultivationLiquid,liquid,no,300
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,5,TZ,cultivationLiquid,liquid,yes,0
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_100,5,TZ,cultivationLiquid,liquid,no,0
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_70,5,UM,cultivationLiquid,liquid,yes,10
ethanol&wash&cultivation5daysInLiquidMedia,3,Ethanol_shock,cult_70,5,UM,cultivationLiquid,liquid,no,300
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,7,UM,cultivationSolid,solid,no,241
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,7,UM,cultivationSolid,solid,yes,
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,7,TZ,cultivationSolid,solid,no,300
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T30,7,TZ,cultivationSolid,solid,yes,180
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,7,UM,cultivationSolid,solid,no,300
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,7,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,7,TZ,cultivationSolid,solid,no,300
temperature&wash&cultivation7daysOnSolidMedia,3,Heat_shock,cult_T60,7,TZ,cultivationSolid,solid,yes,184
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,7,UM,cultivationSolid,solid,no,300
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,7,UM,cultivationSolid,solid,yes,300
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,7,TZ,cultivationSolid,solid,no,186
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_100,7,TZ,cultivationSolid,solid,yes,300
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_70,7,UM,cultivationSolid,solid,no,300
ethanol&wash&cultivation7daysOnSolidMedia,3,Ethanol_shock,cult_70,7,UM,cultivationSolid,solid,yes,300
temperature&wash&cultivation7daysInLiquidMedia,3,Heat_shock,cult_T30,7,UM,cultivationLiquid,liquid,no,300
